Name,IATACode,ID
Fly540,5H,arl_00009VME7DEATorL0sX28C
Saudia,SV,arl_00009VME7DDSWSIAygCT1v
Transaero Airlines,UN,arl_00009VME7DDoV8ZkzmMka5
Air Corsica,XK,arl_00009VME7DBgd2sGtBN3H0
Air Dolomiti,EN,arl_00009VME7DAyfgJ6qz2UAC
Berjaya Air,J8,arl_00009VME7DBKeMags5Cliu
Cirrus Airlines,C9,arl_00009VME7DBgd2sGtBN3Gc
Air Kazakhstan,9Y,arl_00009VME7DEATorL0sX289
Itek Air,GI,arl_00009VME7DCOaPRQvNhcNI
Parmiss Airlines (IPV),PA,arl_00009VME7DEATorL0sX28m
VASP,VP,arl_00009VME7DDoV8ZkzmMkar
Iberia Express as British Airways,,arl_0000AI6jWEIaPewfxGnDA8
Indonesia AirAsia,QZ,arl_00009VME7DCOaPRQvNhcN2
Nauru Airlines,ON,arl_00009VME7DCkZ5j0wTrtw8
Royal Air Maroc,AT,arl_00009VME7DD6Xm0axa2BUM
Asian Wings Airways,AW,arl_00009VME7DEWSV8v1yhJgL
ASL Airlines France,5O,arl_00009w8ZaCFoHHsAahwGSO
Cebu Pacific,5J,arl_00009VME7DBgd2sGtBN3GF
Hapagfly,HF,arl_00009VME7DCOaPRQvNhcMZ
VRG Linhas Aereas,RG,arl_00009VME7DDoV8ZkzmMkaq
Vladivostok Air,XF,arl_00009VME7DDoV8ZkzmMkal
Zoom Airlines,Z4,arl_00009VME7DEATorL0sX284
AirAsia,AK,arl_00009VME7DAyfgJ6qz2U9g
Air Finland,OF,arl_00009VME7DAyfgJ6qz2UAL
Pegasus Airlines,PC,arl_00009VME7DD6Xm0axa2BTs
Sibaviatrans,5M,arl_00009VME7DDSWSIAygCT1g
Uzbekistan Airways,HY,arl_00009VME7DDoV8ZkzmMkaV
Vistara,UK,arl_00009zkE2hvrPsrXMeoy4e
Air Busan,BX,arl_00009VME7DEATorL0sX285
L,MJ,arl_00009VME7DCkZ5j0wTrtvO
Mango,JE,arl_00009VME7DCkZ5j0wTrtvb
Sriwijaya Air,SJ,arl_00009VME7DDSWSIAygCT1i
Brit Air,DB,arl_00009VME7DBKeMags5Clix
Gulf Air Bahrain,GF,arl_00009VME7DCOaPRQvNhcMT
Star Flyer,7G,arl_00009VME7DDSWSIAygCT1b
World Airways,WO,arl_00009VME7DEATorL0sX27s
Far Eastern Air Transport,EF,arl_00009VME7DC2bj9quHXKoq
German Airways for BA CityFlyer,,arl_00009VME7DBgd2sGtBN3JP
Wizz Air Ukraine,WU,arl_00009VME7DEATorL0sX28r
Air Bagan,W9,arl_00009VME7DAyfgJ6qz2UAc
Air Cargo Carriers,2Q,arl_00009VME7DAch01WpssCbL
Arrow Air,JW,arl_00009VME7DAch01WpssCcH
CommutAir,C5,arl_00009VME7DBgd2sGtBN3Gn
Singapore Airlines,SQ,arl_00009VME7DDSWSIAygCT1f
Air Namibia,SW,arl_00009VME7DAch01WpssCbN
American Airlines,AA,arl_00009VME7DAGiJjwomhv32
Atifly,A1,arl_00009VME7DEATorL0sX28R
Aws express,B0,arl_00009VME7DEWSV8v1yhJgU
Sun Country Airlines,SY,arl_00009VME7DDSWSIAygCT1W
Cathay Pacific,CX,arl_00009VME7DBgd2sGtBN3GD
East African,QU,arl_00009VME7DC2bj9quHXKoI
LATAM Airlines Paraguay,PZ,arl_00009VME7DDoV8ZkzmMkaF
PAN Air,PV,arl_00009VME7DD6Xm0axa2BTY
Air Sinai,4D,arl_00009VME7DAch01WpssCcO
Edelweiss Air,WK,arl_00009VME7DC2bj9quHXKoM
Ryanair,FR,arl_00009VME7DDSWSIAygCT1M
Sky Regional Airlines as Air Canada Express,,arl_00009v2QssQm8xL1cV0ubw
Skywalk Airlines,AL,arl_00009VME7DDSWSIAygCT25
Spanair,JK,arl_00009VME7DDSWSIAygCT2H
Iberia,IB,arl_00009VME7DCOaPRQvNhcMu
Oman Air,WY,arl_00009VME7DD6Xm0axa2BTM
Salsa d'Haiti,SO,arl_00009VME7DEWSV8v1yhJgJ
West Air,PN,arl_00009VME7DEATorL0sX28k
Mahan Air,W5,arl_00009VME7DCkZ5j0wTrtvT
Maldivo Airlines,ML,arl_00009VME7DEATorL0sX28H
PNG Air,CG,arl_00009VME7DBKeMags5CliF
Tunisair,TU,arl_00009VME7DDoV8ZkzmMkZY
Air Madagascar,MD,arl_00009VME7DAyfgJ6qz2UAq
Augsburg Airways,IQ,arl_00009VME7DAch01WpssCcX
Commutair as United Express,,arl_00009khl2Q2VxdarsPnALw
kulula.com,MN,arl_00009VME7DBgd2sGtBN3Gm
Skynet Airlines,SI,arl_00009VME7DDSWSIAygCT1h
Jetstar Japan,GK,arl_0000AB5BPDb0iEfjXqKNE0
Lufttransport,L5,arl_00009VME7DCkZ5j0wTrtvK
TAROM,RO,arl_00009VME7DDoV8ZkzmMkaI
Virgin Nigeria Airways,VK,arl_00009VME7DDoV8ZkzmMkag
Astraeus,5W,arl_00009VME7DAch01WpssCbA
Canadian Airlines,CP,arl_00009VME7DBgd2sGtBN3G0
Express One International,EO,arl_00009VME7DC2bj9quHXKon
Hellenic Imperial Airways,HT,arl_00009VME7DEATorL0sX28b
Yamal Airlines,YC,arl_00009VME7DEATorL0sX27x
Malaysia Airlines,MH,arl_00009VME7DCkZ5j0wTrtvV
MyTravel Airways,VZ,arl_00009VME7DCkZ5j0wTrtvz
Peninsula Airways,KS,arl_00009VME7DD6Xm0axa2BTt
Air Bourbon,ZB,arl_00009VME7DAch01WpssCbe
ANA,NH,arl_00009VME7DAch01WpssCc0
British International Helicopters,BS,arl_00009VME7DBKeMags5Clia
Cabo Verde Airlines,VR,arl_00009VME7DDoV8ZkzmMka0
TRIP Linhas A,8R,arl_00009VME7DDoV8ZkzmMkaK
Yemenia,IY,arl_00009VME7DEATorL0sX27z
Air Mediterranee,DR,arl_00009VME7DAyfgJ6qz2U9Z
Croatia Airlines,OU,arl_00009VME7DBgd2sGtBN3H2
Hong Kong Airlines,HX,arl_00009VME7DCOaPRQvNhcMq
Iberia Express,I2,arl_00009Y7ohF9Tcjmpmpxu4G
Luchsh Airlines ,L4,arl_00009VME7DEWSV8v1yhJg5
Air France,AF,arl_00009VME7DAch01WpssCbI
Delta Air Lines,DL,arl_00009VME7DBgd2sGtBN3HF
HK Express,UO,arl_00009VME7DCOaPRQvNhcMr
LOT Polish Airlines,LO,arl_00009VME7DCkZ5j0wTrtuw
Qatar Airways,QR,arl_00009VME7DD6Xm0axa2BU9
Shandong Airlines,SC,arl_00009VME7DDSWSIAygCT28
Virgin Australia,DJ,arl_00009VME7DDoV8ZkzmMkao
Wizz Air,W6,arl_00009VME7DEATorL0sX27q
Alaska Airlines,AS,arl_00009VME7DAch01WpssCcN
Belair Airlines,4T,arl_00009VME7DBKeMags5CliY
Georgian Airways,A9,arl_00009VME7DC2bj9quHXKpO
Piedmont Airlines as American Airlines,,arl_0000ACpIjvyh2NXwo3KJ1e
XL Airways France,SE,arl_00009VME7DEATorL0sX27u
