ID,Name,ID,Name,IATACountryCode,ICAOCode,City,CityName,IATACode,IATACountryCode,ICAOCode,Latitude,Longitude,TimeZone
arp_iwd_us,Gogebic–Iron County Airport,,,,,,Ironwood,IWD,US,KIWD,46.52658,-90.131226,America/Menominee
arp_xgr_ca,Kangiqsualujjuaq,,,,,,Kangiqsualujjuaq,XGR,CA,CYLU,58.711395,-65.99279,America/Toronto
arp_fss_gb,Royal Air Forces Kinloss Airport,,,,,,Forres,FSS,GB,EGQK,57.6494,-3.56064,Europe/London
arp_ssa_br,Salvador-Deputado Luís Eduardo Magalhães International Airport,,,,,,Salvador,SSA,BR,SBSV,-12.909855,-38.32687,America/Bahia
arp_ein_nl,Eindhoven Airport,,,,,,Eindhoven,EIN,NL,EHEH,51.450718,5.380664,Europe/Amsterdam
arp_krr_ru,Krasnodar International Airport,,,,,,Krasnodar,KRR,RU,URKK,45.03421,39.141727,Europe/Moscow
arp_vpe_ao,Ondjiva Pereira Airport,,,,,,Ondjiva,VPE,AO,FNGI,-17.045002,15.685695,Africa/Luanda
arp_mms_us,Selfs Airport,,,,,,Marks,MMS,US,KMMS,34.231678,-90.2898,America/Chicago
arp_elz_us,Wellsville Municipal Airport,,,,,,Wellsville,ELZ,US,KELZ,42.109463,-77.991295,America/New_York
arp_slh_us,Sola Airport,,,,,,Cheboygan,SLH,US,NVSC,45.653164,-84.51977,America/Detroit
arp_tsl_mx,Tamuín National Airport,,,,,,Tamuín,TSL,MX,MMTN,22.038904,-98.80596,America/Mexico_City
arp_arp_pg,Aragip Airport,,,,,,Aragip,ARP,PG,,-9.9,149.467,Pacific/Port_Moresby
arp_ogz_ru,Beslan Airport,,,,,,Vladikavkaz,OGZ,RU,URMO,43.203007,44.604412,Europe/Moscow
arp_vdh_vn,Dong Hoi Airport,,,,,,Dong Hoi,VDH,VN,VVDH,17.514608,106.590385,Asia/Bangkok
arp_erz_tr,Erzurum Airport,,,,,,Erzurum,ERZ,TR,LTCE,39.957508,41.173317,Europe/Istanbul
arp_gla_gb,Glasgow International Airport,cit_gla_gb,Glasgow,GB,,,Glasgow,GLA,GB,EGPF,55.870487,-4.434056,Europe/London
arp_sis_za,Sishen Airport,,,,,,Sishen,SIS,ZA,FASS,-27.649343,22.999254,Africa/Johannesburg
arp_zwl_ca,Wollaston Lake Airport,,,,,,Wollaston Lake,ZWL,CA,CZWL,58.10692,-103.17225,America/Regina
arp_twt_ph,Sanga-Sanga Airport,,,,,,Bongao,TWT,PH,RPMN,5.046416,119.74299,Asia/Manila
arp_mml_us,Southwest Minnesota Regional Airport,,,,,,Marshall,MML,US,KMML,44.447002,-95.820946,America/Chicago
arp_cnr_cl,Chañaral Airport,,,,,,Chañaral,CNR,CL,SCRA,-26.332567,-70.607506,America/Santiago
arp_chz_us,Chiloquin State Airport,,,,,,Chiloquin,CHZ,US,,42.57937,-121.87548,America/Los_Angeles
arp_rac_us,John H. Batten Airport,,,,,,Racine,RAC,US,KRAC,42.760044,-87.816956,America/Chicago
arp_afd_za,Port Alfred Airport,,,,,,Port Alfred,AFD,ZA,FAPA,-33.55557,26.88024,Africa/Johannesburg
arp_sxm_sx,Princess Juliana International Airport,,,,,,Saint Martin,SXM,SX,TNCM,18.041435,-63.11099,America/Lower_Princes
arp_rer_gt,Retalhuleu Airport,,,,,,Retalhuleu,RER,GT,MGRT,14.521918,-91.6965,America/Guatemala
arp_hux_mx,Bahías de Huatulco International Airport,,,,,,Huatulco,HUX,MX,MMBT,15.773976,-96.26074,America/Mexico_City
arp_dsg_ph,Dilasag Airport,,,,,,Dilasag,DSG,PH,,16.928722,121.75441,Asia/Manila
arp_ekt_se,Eskilstuna Airport,,,,,,Eskilstuna,EKT,SE,ESSU,59.35025,16.70843,Europe/Stockholm
arp_mvl_us,Morrisville–Stowe State Airport,,,,,,Morrisville,MVL,US,KMVL,44.5355,-72.614105,America/New_York
arp_soa_vn,Sóc Trăng Airport,,,,,,Sóc Trăng,SOA,VN,,9.579849,105.959045,Asia/Ho_Chi_Minh
arp_ccx_br,Cáceres Airport,,,,,,Cáceres,CCX,BR,SWKC,-16.043888,-57.630417,America/Cuiaba
arp_isc_gb,St. Mary's Airport,cit_isc_gb,Isles of Scilly,GB,,,Isles of Scilly,ISC,GB,EGHE,49.913563,-6.292507,Europe/London
arp_ffd_gb,Royal Air Forces Fairford Airport,,,,,,Fairford,FFD,GB,EGVA,51.683403,-1.786983,Europe/London
arp_szs_nz,Stewart Island Airport,,,,,,Stewart Island,SZS,NZ,NZRC,-46.89971,168.10133,Pacific/Auckland
arp_blt_au,Blackwater Airport,,,,,,Blackwater,BLT,AU,YBTR,-23.602795,148.80746,Australia/Brisbane
arp_gba_vu,Cotswold Airport,,,,,,Kemble,GBA,VU,EGBP,51.66891,-2.05403,Europe/London
arp_ibb_ec,General Villamil Airport,,,,,,Isabela,IBB,EC,SEII,-0.942628,-90.953,Pacific/Galapagos
arp_hhh_us,Hilton Head Airport,,,,,,Hilton Head Island,HHH,US,KHXD,32.22539,-80.69798,America/New_York
arp_ypn_ca,Port-Menier Airport,,,,,,Port-Menier,YPN,CA,CYPN,49.83719,-64.28978,America/Toronto
arp_oha_nz,RNZAF Base Ohakea Airport,,,,,,Ohakea,OHA,NZ,NZOH,-40.206123,175.38792,Pacific/Auckland
arp_esc_us,Delta County Airport,,,,,,Escanaba,ESC,US,KESC,45.72024,-87.09195,America/Detroit
arp_scv_ro,Suceava International Airport,,,,,,Suceava,SCV,RO,LRSV,47.68715,26.353394,Europe/Bucharest
arp_rue_cg,Butembo Airport,,,,,,Butembo,RUE,CG,,35.260094,-93.0973,Africa/Brazzaville
arp_kgz_us,Glacier Creek Airport,,,,,,Glacier Creek,KGZ,US,,61.4548,-142.38077,America/Anchorage
arp_cft_us,Greenlee County Airport,,,,,,Clifton/Morenci,CFT,US,KCFT,32.956665,-109.21163,America/Phoenix
arp_hla_za,Lanseria International Airport,cit_jnb_za,Johannesburg,ZA,,,Johannesburg,HLA,ZA,FALA,-25.938126,27.926256,Africa/Johannesburg
